site_id,datetime,PRES,TSOIL,SOILW,WEASD,SNOD,ICETK
NIWO,2023-11-27T00:00:00Z,73854.091796875,269.2983589172363,0.35225001722574234,10.25,0.09874999430030584,0
NOGP,2023-11-27T00:00:00Z,95037.2890625,268.9696044921875,0.1855000089854002,0,0,0
OAES,2023-11-27T00:00:00Z,96481.69140625,276.6458511352539,0.15562500432133675,0,0,0
ONAQ,2023-11-27T00:00:00Z,82651.291015625,271.2033576965332,0.22200001403689384,2.625,0.01874999958090484,0
ORNL,2023-11-27T00:00:00Z,97059.490234375,279.3546028137207,0.25575001165270805,0,0,0
OSBS,2023-11-27T00:00:00Z,101234.6904296875,291.53335189819336,0.14387500658631325,0,0,0
PUUM,2023-11-27T00:00:00Z,80709.4921875,290.277099609375,0.11550000496208668,0,0,0
RMNP,2023-11-27T00:00:00Z,74321.08984375,268.48085021972656,0.1855000089854002,6.875,0.06624999968335032,0
SCBI,2023-11-27T00:00:00Z,98435.890625,277.1971015930176,0.26512501016259193,0,0,0
SERC,2023-11-27T00:00:00Z,100797.69140625,NA,NA,NA,NA,0
SJER,2023-11-27T00:00:00Z,94681.490234375,281.7983512878418,0.11400000657886267,0,0,0
SOAP,2023-11-27T00:00:00Z,94681.490234375,281.7983512878418,0.11400000657886267,0,0,0
SRER,2023-11-27T00:00:00Z,90148.291015625,286.9621047973633,0.1138750072568655,0,0,0
STEI,2023-11-27T00:00:00Z,95172.8916015625,269.76459884643555,0.3710000179708004,3,0.029999999329447746,0
STER,2023-11-27T00:00:00Z,87606.890625,271.03210067749023,0.10875000525265932,4.875,0.03749999916180968,0
TALL,2023-11-27T00:00:00Z,101060.291015625,283.2808494567871,0.25637501291930676,0,0,0
TEAK,2023-11-27T00:00:00Z,80231.890625,274.44960021972656,0.2110000103712082,1.5,0.009999999776482582,0
TOOL,2023-11-27T00:00:00Z,87459.890625,265.69710540771484,0.30400002002716064,31,0.3049999922513962,0
TREE,2023-11-27T00:00:00Z,95172.8916015625,269.76459884643555,0.3710000179708004,3,0.029999999329447746,0
UKFS,2023-11-27T00:00:00Z,98824.490234375,274.91585540771484,0.21337500773370266,7.5,0.05624999850988388,0
UNDE,2023-11-27T00:00:00Z,94705.6904296875,269.1370964050293,0.26737501099705696,3,0.029999999329447746,0
WOOD,2023-11-27T00:00:00Z,95788.4912109375,267.0233497619629,0.13600000739097595,0,0,0
WREF,2023-11-27T00:00:00Z,92882.08984375,274.8658561706543,0.2863750196993351,0,0,0
YELL,2023-11-27T00:00:00Z,76190.4892578125,266.8196029663086,0.39887502044439316,8,0.07999999821186066,0
ABBY,2023-11-28T00:00:00Z,97267.509765625,276.03123474121094,0.24250001274049282,0,0,0
BARR,2023-11-28T00:00:00Z,99431.5087890625,NA,NA,6.5,0.029999999329447746,0.3499999940395355
BART,2023-11-28T00:00:00Z,93994.908203125,273.4962272644043,0.3645000234246254,4.125,0.03499999921768904,0
BLAN,2023-11-28T00:00:00Z,98895.908203125,276.977481842041,0.2631250098347664,0,0,0
BONA,2023-11-28T00:00:00Z,96311.91015625,267.7462272644043,0.3970000147819519,33,0.32374998927116394,0
CLBJ,2023-11-28T00:00:00Z,99341.908203125,280.93622970581055,0.1867500077933073,0,0,0
CPER,2023-11-28T00:00:00Z,83301.5087890625,271.5962333679199,0.12812500353902578,6.5,0.05374999879859388,0
DCFS,2023-11-28T00:00:00Z,95511.7109375,267.98998641967773,0.12112500611692667,0,0,0
DEJU,2023-11-28T00:00:00Z,94187.509765625,267.4399833679199,0.3842500075697899,36,0.3500000014901161,0
DELA,2023-11-28T00:00:00Z,102014.109375,281.4599800109863,0.22587501257658005,0,0,0
DSNY,2023-11-28T00:00:00Z,101706.5087890625,290.4037322998047,0.13312500342726707,0,0,0
GRSM,2023-11-28T00:00:00Z,91526.3095703125,276.94873046875,0.271875012665987,0,0,0
GUAN,2023-11-28T00:00:00Z,100406.3095703125,298.2749786376953,0.20150000974535942,0,0,0
HARV,2023-11-28T00:00:00Z,97337.109375,275.57998275756836,0.2945000119507313,0,0,0
HEAL,2023-11-28T00:00:00Z,92677.3095703125,268.3687400817871,0.4100000262260437,29.75,0.28999999165534973,0
JERC,2023-11-28T00:00:00Z,101650.1103515625,284.46372985839844,0.1907500084489584,0,0,0
JORN,2023-11-28T00:00:00Z,86748.3095703125,282.52497482299805,0.1358750071376562,0,0,0
